X,Y,OBJECTID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,POSTAL_CODE,LATITUDE83,LONGITUDE83,HUC8_CODE,ACCURACY_VALUE,COLLECT_MTH_DESC,REF_POINT_DESC,CREATE_DATE,UPDATE_DATE,LAST_REPORTED_DATE,FAC_URL,PGM_SYS_ID,PGM_SYS_ACRNM,INTEREST_TYPE,PROGRAM_URL,PGM_REPORT_URL,PUBLIC_IND,ACTIVE_STATUS,FEDERAL_AGENCY_NAME,HUC_12,FEDERAL_LAND_IND,FED_FACILITY_CODE,EPA_REGION_CODE,KEY_FIELD
-80.7416722689999,32.497225257,1,110008549160,"WAMCHEM, INC.",US HWY 21 N OF AIR BASE,BURTON,BEAUFORT,45013,SC,29902,32.497219,-80.741669,03050208,,,,2002/01/28 23:33:22+00,2015/12/11 00:04:53+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008549160,SCD037405362,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSSCD037405362
-85.857505945,44.7300082180001,2,110009292504,METAL WORKING SHOP,REYNOLDS ROAD,LAKE ANN,BENZIE,26019,MI,49650,44.73,-85.8575,04060104,,,,2002/02/28 18:21:21+00,2015/12/11 00:05:17+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009292504,MID980992952,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,05,SEMSMID980992952
-122.548069669,47.5744485970001,3,110005310314,MANCHESTER LAB,7411 BEACH DR E,PORT ORCHARD,KITSAP,53035,WA,98366,47.574443,-122.548055,17110019,,,,2002/02/28 13:34:07+00,2015/12/11 00:05:49+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005310314,WA8680030931,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,Y,10,SEMSWA8680030931
-83.884165222,32.54958729,4,110064243215,"WOOLFOLK CHEMICAL WORKS, INC.",314 MARTIN LUTHER KING DR,FORT VALLEY,PEACH,GA225,GA,31030,32.549581,-83.884161,03070104,,,,2002/02/28 15:46:58+00,2015/12/11 00:05:02+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110064243215,GAD003269578,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSGAD003269578
-80.1463924129999,40.501397302,5,110004846999,"BRESLUBE-PENN, INC.",84 MONTOUR RD,CORAOPOLIS,ALLEGHENY,42003,PA,15108,40.501389,-80.146389,05030101,,,,2002/01/28 21:47:05+00,2015/12/11 00:01:05+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110004846999,PAD089667695,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,03,SEMSPAD089667695
-111.466981667,40.706885083,6,110009347812,RICHARDSON FLAT TAILINGS,NW 1/4 SEC 1 T2S R 4E,PARK CITY,SUMMIT,49043,UT,84060,40.706879,-111.46697,16020101,,,,2002/03/01 05:31:51+00,2015/12/11 00:05:44+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009347812,UTD980952840,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,PROPOSED FOR NPL,,,,N,08,SEMSUTD980952840
-66.6940954149999,18.453605752,7,110004892885,THE BATTERY RECYCLING COMPANY,PR-2 KM 72.2 BO CAMBALACHE,ARECIBO,ARECIBO,72013,PR,00612,18.453603,-66.694097,21010002,,,,2017/05/26 00:00:00+00,2017/11/08 15:25:38+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110004892885,PRR000004655,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSPRR000004655
-82.2330032789999,34.713407024,8,110015824278,"ROYAL ADHESIVES & SEALANTS, LLC",863 SOUTHEAST MAIN STREET,SIMPSONVILLE,GREENVILLE,45045,SC,29681-7150,34.7134,-82.233,03050109,,,,2002/03/01 05:11:49+00,2015/12/11 00:04:43+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110015824278,SCD002601656,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSSCD002601656
-81.737784184,33.3488950820001,9,110001120000,DOE/WSRC SAVANNAH RIVER SITE,BETWEEN SC 125 & US 278,AIKEN,AIKEN,45003,SC,29801,33.348889,-81.737781,03060106,,,,2002/02/28 21:37:51+00,2015/12/11 00:04:43+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001120000,SC1890008989,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,Y,04,SEMSSC1890008989
-98.4155647279999,40.5636177050001,10,110041208243,AGP GRAIN MARKETING LLC,2315 W HIGHWAY 6,HASTINGS,ADAMS,31001,NE,68901-7711,40.563611,-98.415556,10270206,,,,2005/05/24 16:29:04+00,2015/12/11 00:05:41+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110041208243,NEN000704351,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,07,SEMSNEN000704351
